tiempo,error_pos,error_pitch,x,y,z
0.7802927494049072,19.9600111433879,0.028812158108552283,0.03998885816742014,0.00024917541658879815,0.2793254253621268
0.7902414798736572,19.960317906300148,0.030179578916176602,0.03968209546741817,0.0002656357180574574,0.2775038535399861
0.7981281280517578,19.96064157445449,0.03149502430255197,0.03935842754349447,0.00028242177531946665,0.2756254518051056
0.8061082363128662,19.96098285115628,0.03278031250297645,0.039017151093495815,0.0002996923143520396,0.27369027048760625
0.8142521381378174,19.961342480120923,0.0340248192989989,0.0386575224032021,0.00031744266289525987,0.27169856439089596
0.8227274417877197,19.96172123691226,0.0352178014362328,0.03827876590986085,0.0003356617652077945,0.2696506456459459
0.8310286998748779,19.962119919360408,0.036347957162904024,0.03788008378437623,0.000354334782619085,0.2675468873217106
0.8394155502319336,19.96253947291156,0.037435616767124265,0.03746053057867712,0.0003732932985921251,0.2653877796671365
0.8474202156066895,19.962980501575704,0.038453786904316264,0.037019502285613064,0.0003926406950586174,0.2631737305587537
0.857853889465332,19.963444123948847,0.03933872214558435,0.03655588031350865,0.0004125318391755887,0.2609054335175887
0.8664038181304932,19.96393078775344,0.04011771255630168,0.036069216938170626,0.0004328117096088418,0.25858351662436296
0.8744611740112305,19.964441322221298,0.04077915559539784,0.035558682926148985,0.000453356003440165,0.25620875251241537
0.8827428817749023,19.96497655069736,0.041301881438504495,0.03502345493027524,0.0004740372409424336,0.25378208113366785
0.894904613494873,19.965537319888455,0.04167246462625715,0.03446268624140149,0.0004947440904819724,0.25130457448880145
0.903007984161377,19.96612531932175,0.04189381006629479,0.033874687327281314,0.0005152773615997829,0.2487771335973728
0.9112000465393066,19.966740446169837,0.04193246546512643,0.0332595610108551,0.0005354905039313593,0.24620146671811682
0.9192135334014893,19.967383263838787,0.04177048605622262,0.03261674387937527,0.0005551784533218214,0.24357919072395312
0.9276742935180664,19.96805421600064,0.04139145214040959,0.03194579225102496,0.000574055198343032,0.24091214177892536
0.9354963302612305,19.96875339017439,0.04078004874534513,0.031246618593533698,0.0005917508155989694,0.2382023622208839
0.9436938762664795,19.96948045802542,0.03996380766094022,0.030519551266507725,0.0006091878946071559,0.2354508357968998
0.9554443359375,19.970237048727704,0.03902180339370781,0.02976296104048099,0.0006246166189457577,0.23266123993477036
0.9636459350585938,19.971020786981747,0.03803639827945011,0.02897922311379674,0.0006350092116334887,0.22983782540634756
0.9717190265655518,19.97183343953313,0.03683389848942887,0.02816657076242038,0.0006412814707523909,0.2269850739679806
0.97994065284729,19.972666735388135,0.03563148485084549,0.027333274799109096,0.0006379129032587403,0.22410760801991886
0.9882140159606934,19.972361610619515,0.35052024162713397,0.02763841699228858,0.001050212299927244,0.22440500668041824
0.9969656467437744,19.97204087913232,0.6675778882539902,0.027959174949829163,0.001469782906057147,0.22469887213376058
1.0053977966308594,19.97170615335021,0.9873940898983176,0.02829393678691765,0.0018974678866161138,0.2249887516982524
1.0132575035095215,19.97138376253555,1.2782611801997725,0.028616375370413488,0.002346986532064472,0.22530604198684093
1.0218029022216797,19.97111179756556,1.5018658752951743,0.028888360040942265,0.002509014545632389,0.2260413436090081
1.0299580097198486,19.970900570922428,1.731362708973643,0.029099602793678386,0.0026341097585680213,0.22673823055365083
1.0382716655731201,19.97071485966872,1.9632317882329646,0.029285323560585743,0.0027052616336472315,0.22740488651722945
1.047419786453247,19.970537025356172,2.187130556971647,0.029463159895973173,0.0027201414508773052,0.22806877865358177
1.0572268962860107,19.970369540724537,2.3946862252458283,0.029630643777726715,0.002714619060139405,0.22873265857111028
1.0655055046081543,19.970213577277573,2.5838535996762286,0.029786604796630842,0.002696687107230525,0.22939572160637844
1.0732696056365967,19.97007089736258,2.7534142250256983,0.029929281355097107,0.0026717053165632018,0.23005783312418804
1.0828344821929932,19.96994292669064,2.902820768879462,0.030057248128788423,0.00264239813091877,0.23071920707122076
1.0910718441009521,19.96983515832645,3.0331991956178124,0.030165010428842565,0.002596156925202278,0.23138457638096624
1.0993449687957764,19.969744387934448,3.1427838905639986,0.03025577393379951,0.002542623642422415,0.2320514515394761
1.1114757061004639,19.969688799072216,3.2432191619835917,0.030311355232070316,0.0024825021907911035,0.23273749653203413
1.120460033416748,19.96976572633763,3.3609351942864767,0.030234418899423667,0.0024084641970342955,0.23351037850127934
1.1283769607543945,19.969875212962634,3.461375174182984,0.030124925479388196,0.0023514548342966368,0.234291530418189
1.1363272666931152,19.970010784040554,3.5497020627484663,0.02998934684627802,0.0022863995486051745,0.23509123002038904
1.1474387645721436,19.97016008704898,3.642982516342668,0.029840039815874485,0.0022510048722513797,0.23593285765865415
1.1554465293884277,19.970333759896793,3.724318988649517,0.02966636264685464,0.0022123460394229836,0.23678519596923497
1.1640198230743408,19.97052853144088,3.796093819290171,0.02947158657048141,0.002171059288629125,0.23765094786636307
1.17203688621521,19.970744217193424,3.859954777797783,0.029255895904322378,0.00212539226918248,0.23853161646474602
1.180952548980713,19.970977135998734,3.9158165165738077,0.029022972278564065,0.002079616994924404,0.2394265156367719
1.1889662742614746,19.971241266388795,3.9566076047506438,0.02875883703171386,0.0020324546227992344,0.24030445882892212
1.1974408626556396,19.97154054977027,3.9819284982513734,0.028459550831641263,0.0020045823271179135,0.24117863191475566
1.2114317417144775,19.971857327707596,3.995901049381833,0.02814277187044901,0.001994371321636479,0.24204086101601419
1.219761848449707,19.9721897415054,4.0020267725207646,0.027810357549601435,0.001989143180861428,0.24289290383817858
1.2281992435455322,19.972533639932152,4.008924096966653,0.027466459437226608,0.0019923143502286566,0.24374705774790228
1.2394514083862305,19.972866609032017,4.002426314818861,0.02713348452979721,0.0019332344329019426,0.2446586358218767
1.2480838298797607,19.97321249313855,3.989303902268216,0.026787594382435005,0.0018697995692779695,0.2455743314073559
1.2560951709747314,19.973591816375,3.9775659739518927,0.0264082655138701,0.001808654091036719,0.24645406114125304
1.264061689376831,19.974009929957738,3.9675902554296134,0.02599014608245337,0.0017428869710242878,0.2472890805898206
1.2730588912963867,19.974464717022308,3.9608251662557223,0.025535352880667876,0.0016710921353439378,0.24808284333298283
1.2811527252197266,19.974952798452545,3.9579277363041734,0.025047265081573313,0.001593167270227871,0.24884516514883928
1.2898147106170654,19.975464566801293,3.9530681628889437,0.024535490169574226,0.0015086546998010842,0.24959239339655193
1.3050158023834229,19.975999762069296,3.9440457148334507,0.02400028842287158,0.001420303867486567,0.2503260434112473
1.3133246898651123,19.97656564110683,3.9324151233984295,0.023434403002851757,0.0013275239856888948,0.25103635222274545
1.3214786052703857,19.97716837217399,3.9199407831192494,0.022831665660221837,0.0012294879845811044,0.25171013376654017
1.330371618270874,19.977811684896626,3.9079064658476503,0.02218834682487834,0.0011258119473525631,0.25234325091939896
1.3392987251281738,19.97848561167342,3.8781939334171804,0.021514416171844044,0.001054804439356654,0.2529365437342786
1.3471503257751465,19.97916545917042,3.823466886759331,0.020834570323449042,0.001085599278983842,0.25352027933379856
1.355372428894043,19.979848407521107,3.7441690680401254,0.02015163048402749,0.0012323447583091275,0.2540990975444838
1.3666105270385742,19.980566645391562,3.634488718641131,0.01943340757992754,0.0014549229279350983,0.2546378261835937
1.3745179176330566,19.981336767547184,3.507793922936598,0.018663300708120237,0.0016515642236572972,0.2551269381783052
1.3829493522644043,19.982159268300848,3.369960739464261,0.01784081346692774,0.0018077039499606513,0.2555422722483783
1.3954432010650635,19.98303943171124,3.218217792436016,0.016960660131046044,0.0019158747549643089,0.25587353908944266
1.5239429473876953,19.983977898180274,3.0518379039718697,0.01602219907477762,0.0019715693548954406,0.2561226306489603
1.535437822341919,19.984976531270632,2.869916970757761,0.015023566549984577,0.0019773430446820223,0.25628662209584335
1.5434067249298096,19.986038408982182,2.6716759892341306,0.01396168509295084,0.0019391695393884756,0.25635929565283483
