step,x,y,z,avance,orientacion,cmd_avance,cmd_FL,cmd_FR,cmd_RR,cmd_RL
0,-0.041689589425460825,0.0003752940178499348,0.3528538470150157,10.041691347219825,89.99768211120299,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
1,-0.04167036077558167,0.0003769278266488568,0.35485984181449176,10.041689589425461,89.99784996890811,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
2,-0.04155351044486223,0.00037777400947489677,0.3575676218566153,10.041670360775582,89.99801747441079,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
3,-0.041363481794063975,0.00037743366693948654,0.3608666172101296,10.041553510444862,89.99815129623019,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
4,-0.041019908496994974,0.00037673130834374176,0.3643220834382945,10.041363481794065,89.99829661553574,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
5,-0.04053296721303332,0.00037597093682326246,0.3678910756325923,10.041019908496995,89.99844255854434,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
6,-0.039979756872988124,0.00037554222374746243,0.37147953836069636,10.040532967213034,89.99855480095208,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
7,-0.039374922366923526,0.00037547948052958944,0.3750569271545332,10.039979756872988,89.9986647075178,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
8,-0.0387213505480021,0.00037604492823584937,0.37861530731649246,10.039374922366923,89.9987767304585,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
9,-0.03801971469262266,0.00037701813650692763,0.382152651859351,10.038721350548002,89.99888361645846,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
10,-0.037269758976027335,0.00037830532240923554,0.38567035380233705,10.038019714692622,89.99898600782326,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
11,-0.03647156190176446,0.00037985823673790706,0.389168322281275,10.037269758976027,89.99908476032901,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
12,-0.03562527392617464,0.0003816395904157505,0.3926461028916639,10.036471561901765,89.99918020182072,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
13,-0.03473104979538891,0.00038361737820716697,0.3961031902500575,10.035625273926174,89.99927259439153,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
14,-0.033789028692363964,0.00038576166188525584,0.39953907564008256,10.034731049795388,89.99936217041288,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
15,-0.03279934142710667,0.0003880461851387902,0.40295324241259034,10.033789028692365,89.99944914744681,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
16,-0.03176211075211914,0.0003904500203074933,0.40634516514031355,10.032799341427106,89.99953371679969,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
17,-0.030677449186436074,0.0003929549338934158,0.40971430929473385,10.031762110752119,89.9996160343788,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
18,-0.029545459548811034,0.00039554544208753864,0.4130601339056072,10.030677449186436,89.99969623671288,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
19,-0.0283662308705762,0.0003982044372568118,0.4163820979851408,10.02954545954881,89.99977443994199,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
20,-0.02713984523122275,0.0004009231434129922,0.4196796470627941,10.028366230870576,89.99984104927535,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
21,-0.025866134559856646,0.0004037133016277873,0.4229522624662724,10.027139845231222,89.99990556358583,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
22,-0.02453376070868462,0.00040692226145935335,0.42625180557728376,10.025866134559857,89.9999712913148,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
23,-0.023145106659784864,0.00041170658811809737,0.42954907066305675,10.024533760708685,90.00002874680263,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
24,-0.02173098302702262,0.0004099866389904502,0.43280228075034344,10.023145106659785,90.0000751256958,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
25,-0.02027441583086118,0.0003812481441674712,0.43596556193626496,10.021730983027023,90.00010694870296,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
26,-0.01877473626211283,0.00032001874958090666,0.43905537783461446,10.020274415830862,90.00030901506184,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
27,-0.017231092140357653,0.0002237213187233216,0.442085223381716,10.018774736262113,90.0007011603829,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
28,-0.015642296523879752,9.054688565992552e-05,0.44506463466360463,10.017231092140358,90.00128750071993,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
29,-0.014005275568966465,-8.304716728959634e-05,0.4480112501216028,10.015642296523879,90.00207223499582,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
30,-0.012317497630965039,-0.00029920098126668765,0.4509348453471419,10.014005275568966,90.00305734299099,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
31,-0.010580961624320227,-0.0005556708581853247,0.45382680130127895,10.012317497630965,90.00425937961893,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
32,-0.008796757261090745,-0.0008509732603811777,0.4566833144147661,10.01058096162432,90.00568187089254,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
33,-0.006965482389569528,-0.0011841984441595056,0.45950244977032073,10.008796757261091,90.0073070406371,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
34,-0.005087547237149848,-0.0015546396141865935,0.4622827898229836,10.00696548238957,90.00912360209965,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
35,-0.003163361750653826,-0.0019615854218644592,0.4650226516001942,10.00508754723715,90.01112306403026,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
36,-0.0011930267919682035,-0.002404631276351459,0.4677216080536478,10.003163361750653,90.01329743510232,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
37,0.0008234027340877446,-0.002883420615813957,0.4703791842385612,10.001193026791968,90.01564091813357,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
38,0.00288589407687977,-0.003397612378566504,0.47299484769852274,9.999176597265912,90.01814914226804,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
39,0.004994426730629749,-0.003946877018233898,0.4755680072725948,9.99711410592312,90.02081823133399,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
40,0.007148995584469493,-0.004530902209582267,0.4780980453260193,9.99500557326937,90.0236448092416,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
41,0.00934961440134463,-0.0051493970905476995,0.4805843366572352,9.992851004415531,90.02662599768547,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
42,0.011596329833846541,-0.005802095064835783,0.4830262513806021,9.990650385598656,90.02975944569157,0.733333333333333,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
