step,x,y,z,avance,orientacion,cmd_avance,cmd_FL,cmd_FR,cmd_RR,cmd_RL
0,-0.031696034492425744,0.00037449433934812876,0.35285552841212803,10.041691347219825,89.99768211120299,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
1,-0.021724650856092632,0.000362421271561626,0.3541557223325127,10.031696034492425,89.99785309855211,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
2,-0.011743163814304992,0.00035430104427285834,0.3555249074276004,10.021724650856093,89.99806574332655,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
3,-0.0017623854687414838,0.00035114114639767314,0.3569002594295722,10.011743163814305,89.99822582743188,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
4,0.008216835835681611,0.00034939517109217565,0.3582774304876976,10.00176238546874,89.99837330052979,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
5,0.018194464843859944,0.0003474681932214498,0.3596564205403931,9.991783164164318,89.99852356112766,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
6,0.02817041005744353,0.0003459443139762814,0.36103722710927655,9.98180553515614,89.99868352713331,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
7,0.03814458931749817,0.00034438881968898297,0.36241988359604116,9.971829589942557,89.99884874419263,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
8,0.048116912346786125,0.0003427966830985715,0.3638043942632035,9.961855410682501,89.99902103558799,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
9,0.058087296094190194,0.0003414247957273583,0.36519078855614023,9.951883087653213,89.99919978500863,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
10,0.06805566602726251,0.0003400210937503694,0.36657912532665654,9.94191270390581,89.9993829756035,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
11,0.07802194827660303,0.00033865040601902923,0.367969461099979,9.931944333972737,89.99957173897113,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
12,0.087986081350547,0.000337311924782282,0.3693618919775553,9.921978051723396,89.99976541348492,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
13,0.09794807824359429,0.0003361609209649041,0.3707567490934187,9.912013918649453,89.9999638836552,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
14,0.10790802246765152,0.0003347936405630913,0.37215457482836684,9.902051921756406,90.00016663725081,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
15,0.11786631333251266,0.0003330341619992149,0.37355664255317744,9.892091977532349,90.00037562339985,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
16,0.12783333704871375,0.00032271263841327744,0.3749463154515795,9.882133686667487,90.00059647946699,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
17,0.13781033544624385,0.000319421320824564,0.3763218329640715,9.872166662951287,90.00089572619179,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
18,0.14779319109148745,0.0003164191295833082,0.3776905291613516,9.862189664553757,90.00115410638061,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
19,0.15778211192650915,0.0003132875846007173,0.3790518745787253,9.852206808908512,90.00140586652641,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
20,0.1677768534222966,0.00031001098783935225,0.38040601677825703,9.84221788807349,90.00165264588185,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
21,0.1777772408441167,0.00030657929919492683,0.3817530306779433,9.832223146577704,90.00189409371829,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
22,0.18778307023073806,0.0003029991860158768,0.383093011667041,9.822222759155883,90.00212988120684,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
23,0.19776544331353413,0.0003113606327318917,0.38443171293256817,9.812216929769262,90.00235961520883,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
24,0.20767237669974872,0.0003649289760041178,0.3857545518177641,9.802234556686466,90.00261097155754,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
25,0.21756083329357592,0.00043907342680270527,0.3870183262716518,9.79232762330025,90.00244085059025,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
26,0.22743368644172585,0.0005304924421854518,0.38823324962591715,9.782439166706425,90.00189065585978,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
27,0.23729865335429676,0.0006307472373550476,0.3894260313782225,9.772566313558274,90.00131105194083,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
28,0.24716942500502012,0.0007306787915978929,0.3906192025131079,9.762701346645704,90.0006953771524,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
29,0.2570388878627793,0.0008310513623040135,0.3918165668957386,9.752830574994979,90.00004895921138,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
30,0.26690697956621817,0.0009318708384171755,0.39301819439267094,9.742961112137221,89.99941018247556,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
31,0.27677366057936087,0.0010331592193650917,0.39422419465359776,9.733093020433781,89.99878650590232,0.0,0.8333333333333335,0.16666666666666663,0.8333333333333335,0.16666666666666663
